x,y,z
-5,-5,4.795
-4,-5,7.285
-3,-5,7.991
-2,-5,6.741
-1,-5,3.841
0,-5,-0.0
1,-5,-3.841
2,-5,-6.741
3,-5,-7.991
4,-5,-7.285
5,-5,-4.795
-5,-4,2.491
-4,-4,3.784
-3,-4,4.151
-2,-4,3.502
-1,-4,1.995
0,-4,-0.0
1,-4,-1.995
2,-4,-3.502
3,-4,-4.151
4,-4,-3.784
5,-4,-2.491
-5,-3,-0.423
-4,-3,-0.643
-3,-3,-0.706
-2,-3,-0.595
-1,-3,-0.339
0,-3,0.0
1,-3,0.339
2,-3,0.595
3,-3,0.706
4,-3,0.643
5,-3,0.423
-5,-2,-3.234
-4,-2,-4.913
-3,-2,-5.389
-2,-2,-4.546
-1,-2,-2.59
0,-2,0.0
1,-2,2.59
2,-2,4.546
3,-2,5.389
4,-2,4.913
5,-2,3.234
-5,-1,-5.252
-4,-1,-7.98
-3,-1,-8.754
-2,-1,-7.385
-1,-1,-4.207
0,-1,0.0
1,-1,4.207
2,-1,7.385
3,-1,8.754
4,-1,7.98
5,-1,5.252
-5,0,-5.985
-4,0,-9.093
-3,0,-9.975
-2,0,-8.415
-1,0,-4.794
0,0,0.0
1,0,4.794
2,0,8.415
3,0,9.975
4,0,9.093
5,0,5.985
-5,1,-5.252
-4,1,-7.98
-3,1,-8.754
-2,1,-7.385
-1,1,-4.207
0,1,0.0
1,1,4.207
2,1,7.385
3,1,8.754
4,1,7.98
5,1,5.252
-5,2,-3.234
-4,2,-4.913
-3,2,-5.389
-2,2,-4.546
-1,2,-2.59
0,2,0.0
1,2,2.59
2,2,4.546
3,2,5.389
4,2,4.913
5,2,3.234
-5,3,-0.423
-4,3,-0.643
-3,3,-0.706
-2,3,-0.595
-1,3,-0.339
0,3,0.0
1,3,0.339
2,3,0.595
3,3,0.706
4,3,0.643
5,3,0.423
-5,4,2.491
-4,4,3.784
-3,4,4.151
-2,4,3.502
-1,4,1.995
0,4,-0.0
1,4,-1.995
2,4,-3.502
3,4,-4.151
4,4,-3.784
5,4,-2.491
-5,5,4.795
-4,5,7.285
-3,5,7.991
-2,5,6.741
-1,5,3.841
0,5,-0.0
1,5,-3.841
2,5,-6.741
3,5,-7.991
4,5,-7.285
5,5,-4.795
