theta1_deg,theta3_deg,eta
-90,0,0.7197
-88,0,0.6933
-86,0,0.6918
-84,0,0.6758
-82,0,0.6684
-80,0,0.6352
-78,0,0.6045
-76,0,0.5424
-74,0,0.5196
-72,0,0.4848
-70,0,0.4798
-68,0,0.4893
-66,0,0.4838
-64,0,0.5004
-62,0,0.5224
-60,0,0.5207
-58,0,0.504
-56,0,0.5012
-54,0,0.4909
-52,0,0.4517
-50,0,0.466
-48,0,0.4605
-46,0,0.4536
-44,0,0.4542
-42,0,0.4812
-40,0,0.4573
-38,0,0.4328
-36,0,0.4034
-34,0,0.3865
-32,0,0.3348
-30,0,0.2975
-28,0,0.2578
-26,0,0.2235
-24,0,0.2167
-22,0,0.1845
-20,0,0.1763
-18,0,0.1673
-16,0,0.1363
-14,0,0.1108
-12,0,0.0635
-10,0,0.0267
-8,0,0.02
-6,0,0.02
-4,0,0.02
-2,0,0.02
0,0,0.02
-90,2,0.6887
-88,2,0.6827
-86,2,0.6848
-84,2,0.6658
-82,2,0.649
-80,2,0.6191
-78,2,0.5887
-76,2,0.5733
-74,2,0.5313
-72,2,0.5044
-70,2,0.4768
-68,2,0.4914
-66,2,0.4824
-64,2,0.5024
-62,2,0.5338
-60,2,0.5308
-58,2,0.527
-56,2,0.5206
-54,2,0.5089
-52,2,0.4885
-50,2,0.4565
-48,2,0.441
-46,2,0.4466
-44,2,0.4467
-42,2,0.4465
-40,2,0.4645
-38,2,0.4486
-36,2,0.4058
-34,2,0.3787
-32,2,0.3262
-30,2,0.2951
-28,2,0.2387
-26,2,0.1984
-24,2,0.173
-22,2,0.1658
-20,2,0.1444
-18,2,0.1406
-16,2,0.131
-14,2,0.0888
-12,2,0.0483
-10,2,0.0314
-8,2,0.02
-6,2,0.02
-4,2,0.02
-2,2,0.02
-90,4,0.6917
-88,4,0.6809
-86,4,0.6598
-84,4,0.6404
-82,4,0.6382
-80,4,0.6382
-78,4,0.5985
-76,4,0.5807
-74,4,0.5455
-72,4,0.4927
-70,4,0.4961
-68,4,0.489
-66,4,0.4902
-64,4,0.4955
-62,4,0.5226
-60,4,0.5191
-58,4,0.5331
-56,4,0.528
-54,4,0.5283
-52,4,0.506
-50,4,0.4672
-48,4,0.4576
-46,4,0.4375
-44,4,0.4549
-42,4,0.4517
-40,4,0.4304
-38,4,0.4292
-36,4,0.4061
-34,4,0.3586
-32,4,0.3337
-30,4,0.2791
-28,4,0.2397
-26,4,0.1922
-24,4,0.146
-22,4,0.1353
-20,4,0.1128
-18,4,0.1289
-16,4,0.1129
-14,4,0.0898
-12,4,0.0434
-10,4,0.02
-8,4,0.02
-6,4,0.02
-4,4,0.02
-90,6,0.6774
-88,6,0.6439
-86,6,0.6518
-84,6,0.6441
-82,6,0.6173
-80,6,0.6157
-78,6,0.5993
-76,6,0.5657
-74,6,0.5554
-72,6,0.5148
-70,6,0.488
-68,6,0.4879
-66,6,0.4953
-64,6,0.4909
-62,6,0.5107
-60,6,0.5469
-58,6,0.5457
-56,6,0.5385
-54,6,0.5293
-52,6,0.4975
