theta1_deg,theta3_deg,eta
-60.8,10.7,0.539
-81.9,33.1,0.6164
-83.1,31.4,0.5752
-51.6,6.1,0.4551
-52.3,50.0,0.1935
-69.2,38.4,0.6272
-39.5,25.0,0.3157
-84.1,51.8,0.617
-75.9,8.8,0.5555
-19.4,12.5,0.0349
-34.3,23.6,0.1647
-82.7,5.5,0.6004
-30.8,26.8,0.0458
-38.8,28.3,0.1971
-67.5,35.3,0.593
-63.8,58.9,0.2925
-52.9,45.9,0.2639
-46.9,4.3,0.4713
-39.3,28.5,0.2738
-32.2,5.5,0.3507
-55.6,40.8,0.3657
-49.2,11.7,0.4533
-83.0,46.6,0.6113
-67.2,24.7,0.6525
-81.2,28.1,0.5933
-53.1,22.8,0.538
-73.2,15.5,0.5492
-47.3,36.2,0.2447
-87.7,26.3,0.6332
-83.5,54.2,0.6746
-55.0,25.1,0.4339
-34.7,5.6,0.3227
-70.5,11.4,0.5178
-83.6,2.0,0.625
-79.5,23.1,0.4963
-75.5,16.6,0.5617
-57.4,9.1,0.5884
-47.4,7.0,0.4092
-59.2,17.4,0.56
-74.4,3.3,0.5928
-43.6,10.5,0.4134
-85.7,32.6,0.7065
-66.1,23.3,0.5542
-69.3,49.1,0.6094
-69.0,32.0,0.5829
-85.6,3.6,0.6373
-66.2,42.2,0.5934
-57.4,14.8,0.5023
-71.5,13.9,0.5793
-47.7,39.9,0.2617
-80.9,40.3,0.7172
-47.8,12.4,0.5119
-60.1,48.4,0.4597
-54.7,25.3,0.5322
-27.1,11.9,0.1397
-75.3,54.5,0.6648
-75.7,49.9,0.7148
-32.8,22.3,0.1635
-77.0,2.8,0.6364
-70.3,16.6,0.5503
-67.8,36.0,0.5564
-52.8,9.6,0.5863
-58.3,28.6,0.523
-43.3,32.4,0.2273
-51.0,12.6,0.4677
