x,y,u,v,magnitude
-3,-3,3,-3,4.243
-3,-2,2,-3,3.606
-3,-1,1,-3,3.162
-3,0,0,-3,3.0
-3,1,-1,-3,3.162
-3,2,-2,-3,3.606
-3,3,-3,-3,4.243
-2,-3,3,-2,3.606
-2,-2,2,-2,2.828
-2,-1,1,-2,2.236
-2,0,0,-2,2.0
-2,1,-1,-2,2.236
-2,2,-2,-2,2.828
-2,3,-3,-2,3.606
-1,-3,3,-1,3.162
-1,-2,2,-1,2.236
-1,-1,1,-1,1.414
-1,0,0,-1,1.0
-1,1,-1,-1,1.414
-1,2,-2,-1,2.236
-1,3,-3,-1,3.162
0,-3,3,0,3.0
0,-2,2,0,2.0
0,-1,1,0,1.0
0,0,0,0,0.0
0,1,-1,0,1.0
0,2,-2,0,2.0
0,3,-3,0,3.0
1,-3,3,1,3.162
1,-2,2,1,2.236
1,-1,1,1,1.414
1,0,0,1,1.0
1,1,-1,1,1.414
1,2,-2,1,2.236
1,3,-3,1,3.162
2,-3,3,2,3.606
2,-2,2,2,2.828
2,-1,1,2,2.236
2,0,0,2,2.0
2,1,-1,2,2.236
2,2,-2,2,2.828
2,3,-3,2,3.606
3,-3,3,3,4.243
3,-2,2,3,3.606
3,-1,1,3,3.162
3,0,0,3,3.0
3,1,-1,3,3.162
3,2,-2,3,3.606
3,3,-3,3,4.243
